Código ;DIA;MES;AÑO;RESPONSABLE;ESTRATEGA_VAR_00A;ESTRATEGA_VAR_01A;ESTRATEGA_VAR_01B;ESTRATEGA_VAR_02A;ESTRATEGA_VAR_03_A;ESTRATEGA_VAR_03_B;ESTRATEGA_VAR_04;ESTRATEGA_VAR_05;DETALLES_ACTIVIDAD
188;18;1;2016;3;1;3;3;65;3;301;1;1;"Titular: ""Habrà encarnizada lucha por segundo lugar"" (Fernando Tuesta analiza el ùltimo sondeo de Ipsos Perù. Keiko obtiene el 33%) "
3;18;1;2016;1;1;1;1;45;1;101;0;1;"titular: ""'picotazos' de el bùho"" (Keiko) "
195;19;1;2016;3;1;3;3;18;3;301;1;1;"* El 73% de los peruanos cree que Keiko Fujimori pasarà a segunda vuelta"" "
200;19;1;2016;3;1;3;1;117;4;413;0;1;"titular: ""Vacilan a Keiko con 'memes'"" (en redes sociales) "
1;20;1;2016;2;1;3;1;57;2;201;1;1;"titular: ""Keiko presento a sus candidatos"" (al congreso) "
214;22;1;2016;3;1;3;6;60;2;201;1;1;"titular: ""Keiko defiende a sus candidatos"" (afirmo que ninguno de los 130 postulantes de su agrupaciòn polìtica al Congreso tiene problemas judiciales) "
226;23;1;2016;3;1;3;6;64;5;503;1;1;"Titular: ""Mi esposo para la olla en cas"" (afirma Keiko que su esposo tiene mayores ingresos.) "
227;24;1;2016;3;1;1;8;32;3;303;1;1;"titular: ""Keiko es fija en segunda vuelta"" ( Analista Alfredo Torres dice que se enfrentarìa a Acuña) "
228;24;1;2016;3;1;3;8;310;3;303;1;1;"titular: ""Alfredo Torres de IPSOS analiza el panorama"" "
240;25;1;2016;3;1;3;5;56;4;402;1;1;"Titular: ""Vilcatoma es vocera de Keiko"" "
243;25;1;2016;3;1;1;2;58;4;401;1;1;Titular: Radiografìa polìtica
252;26;1;2016;3;1;3;6;54;7;702;1;1;"Titular: ""Keiko coquetea con Julia Prìncipe"" (propuso crear una Procuradurìa General y Julia seria una buena titular) "
261;27;1;2016;3;1;3;5;247;2;201;0;1;"Titular: Vilcatoma incòmoda en lista fujimorista"" (por sentenciados que postulan al congreso) "
277;30;1;2016;3;1;1;1;34;5;503;0;1;"Titular:""Echan a esposo de Keiko"" (denuncian que pagò al contado màs de 600 mil soles por dos terrenos)"
278;30;1;2016;3;1;3;1;128;5;503;0;1;"Tiular: ""esposo de Keiko con roche"" (por compra de terrenos) "
290;1;2;2016;3;1;3;6;64;5;509;0;1;"Titular: KEIKO: ""Torturas a mi madre jamàs sucedieron"" "
299;1;2;2016;3;1;1;1;85;3;301;1;1;"EL BÙBO: ""sorpresas en la campaña""  (Keiko obtiene 32.6% en la ùltima encuesta de GFK ) "
311;2;2;2016;3;1;3;6;33;10;1001;1;1;"titular: KEIKO: ""molesta por maltrato a hèroe"" (dijo que es muy lamentable que no hayan dado los respetos ni los honores que se merecìa el hèroe del Cenepa, mayor EP Luis Garcìa Rojas. "" "
313;2;2;2016;3;1;1;1;59;4;401;1;1;EL BÙHO: RADIOGRAFÌA POLÌTICA. (Keiko Fujimori) 
328;3;2;2016;3;1;3;6;247;4;421;0;1;"Titular: KEIKO: ""corrupciòn atacò el gobierno de mi padre"" (sigue marcando distancia y afirma que no se quedarà 'atornilladaa en el pasado'"" "
329;3;2;2016;3;1;3;8;17;4;407;1;1;"pepitas: ""El gringo Mark Vito se puso el polo naranja y ayuda a su esposa Keiko a repartir regalos en asentamientos humanos. Dice que si gana la china, èl serìa el 1er damo. Ayayay."" "
336;4;2;2016;3;1;3;8;16;2;205;0;1;"Pepitas: ""Dejaron mal a Keiko. Entrevistaron a dos de sus candidatos al Parlamento Andino y no supieron que decir.Encima, retiraron de su lista a Moises Mieses, quien tiene varios anticuchos"" "
341;4;2;2016;3;1;3;1;30;4;415;1;1;"Titular: ""keiko y PPK son los candidatos màs viajeros"" "
347;4;2;2016;3;1;1;2;65;4;416;0;1;"EL BÙHO: SALTADITOS DE EL BÙHO: ""Keiko y sus candidatos."" "
353;5;2;2016;3;1;3;6;65;9;905;1;1;"Titular: ""KEIKO: Agendas demuestran que hubo mucho dinero"" (dice que peritaje fue contundente) "
370;8;2;2016;3;1;3;3;16;3;305;1;1;"ENCUESTA: EL 50% de los ciudadanos cree que keiko serìa una buena presidenta"" "
380;9;2;2016;3;1;3;5;280;5;509;0;1;"TITULAR: "" torturas a su madre no son leyenda"" (dijo Nadine a Keiko)"
386;9;2;2016;3;1;1;1;79;4;401;1;1;"El buho: ""la hija de la làgrima (keiko) viene realizando una campaña inteligente) "
399;11;2;2016;3;1;3;8;8;4;419;0;1;"tuit: ""jen febrero, la camapaña de Keiko se financiò con la venta de conos de Nubeluz. Todo tiene sentido"" "
401;11;2;2016;3;1;3;3;194;3;301;1;1;"TITULAR: ""keiko puntera y guzmàn sube"" (Datum) "
405;11;2;2016;3;1;3;6;72;4;421;1;1;"TITULAR: ""Keiko dice que cualquier cosa puede pasar"" (toma resultados de encuesta con calma) "
412;12;2;2016;3;1;3;8;309;3;303;0;1;"titular: ""Luis Benavente ve difìcil que Keiko gane en primera vuelta"" "
423;14;2;2016;3;1;3;8;7;4;421;0;1;"TUIT: ""Keiko ahora tendrà que salir a disculparse con su sonrisita porque sus seguidores la acusan de terrorismo frivolamente"""
426;15;2;2016;3;1;3;8;7;10;1001;0;1;"tuit: ""la matonerìa y los còcteles, mala suerte para Keiko"" "
429;15;2;2016;3;1;3;6;119;4;421;0;1;"titular: ""keiko se limpia de fujimori"" (dice que no es responsable de delitos de terceros"""
436;16;2;2016;3;1;3;6;119;4;421;1;1;TITULAR: keiko ataca a Nadine por Ollanta (la culpa de falta de liderazgo del gobierno) 
445;17;2;2016;3;1;3;1;119;4;409;0;1;TITULAR: Tiran huevo a Keiko en Villa El Salvador. (cuando realizaba una actividad proselitista en el mercado Unicachi. 
477;21;2;2016;3;1;3;5;69;4;421;0;1;titular: keiko vivìa y comìa de la mano de Vladi. 
