sbs_id;facexp;departamento;provincia;sexo;p3;p6;leerescribir;niveleducativo;distanciaOficina;distanciaCajero;distanciaAgente;usocajero;vecescajero;ServFInternet;CategoriaIngreso;PagoAlimentacion;PagoSalud;PagoEducacion;PagoServiciosHogar;PagoDeudas;PagoVivienda;PagoEntretenimiento;CuentaAhorro;CuentaPlazo;CuentaCTS;PropensionAhorro;Entidad Credito;PropensionCredito;MotivoNoPropensionCredito;TarjetaCredito;EducacionFinanciera
1;1607;La Libertad;Chepen;Mujer;33;Castellano;Sí;Primaria incompleta;20;;10;;;;Menos de S/ 400;En efectivo;En efectivo;En efectivo;En efectivo;;;;Sí;No;No;Banco de la nación;No solicito;Que no sea muy caro (tasa de interés y otros cargos);Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
2;1607;La Libertad;Chepen;Mujer;24;Castellano;Sí;Secund. incompleta;20;20;10;No;;;;En efectivo;;En efectivo;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que no le pidan muchos documentos;Falta de garantías;No;Bajo nivel
3;2410;La Libertad;Chepen;Mujer;53;Castellano;Sí;Secund. completa;20;20;5;No;;;Menos de S/ 400;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que le den la cantidad que necesita;Tengo pocos ingresos;No;Nivel Alto
4;2150;La Libertad;Chepen;Hombre;35;Castellano;Sí;Primaria completa;20;20;5;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;En efectivo;En efectivo;;En efectivo;;No;No;No;Casa, familiares o amigos;No solicito;Que le den la cantidad que necesita;Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
5;1607;La Libertad;Chepen;Mujer;43;Castellano;Sí;Secund. completa;;;5;;;;;En efectivo;;En efectivo;En efectivo;En efectivo;;;No;No;No;Casa, familiares o amigos;No solicito;Trámite rápido y préstamo a tiempo;Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
6;1607;La Libertad;Chepen;Mujer;40;Castellano;Sí;No fue a la escuela;12;12;5;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;;En efectivo;En efectivo;En efectivo;En efectivo;;Sí;No;No;Banco de la nación;Banca Multiple;Que no sea muy caro (tasa de interés y otros cargos);;No;Bajo nivel
7;2150;La Libertad;Chepen;Hombre;34;Castellano;Sí;Secund. completa;15;15;5;Sí;3;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;;Sí;No;Sí;Banco privado;Banca Multiple;Que no sea muy caro (tasa de interés y otros cargos);;No;Bajo nivel
8;2410;La Libertad;Chepen;Mujer;43;Castellano;No;No fue a la escuela;;;5;;;;Menos de S/ 400;En efectivo;En efectivo;En efectivo;En efectivo;;;;No;No;No;Banco de la nación;No solicito;Que no sea muy caro (tasa de interés y otros cargos);Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
9;2150;La Libertad;Chepen;Hombre;40;Castellano;Sí;Secund. completa;15;15;5;No;;;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;En efectivo;En efectivo;En efectivo;;En efectivo;;No;No;No;Cajas municipales;No solicito;Cuotas que pueda pagar;Muchos requisitos documentarios;No;Bajo nivel
10;803;La Libertad;Chepen;Mujer;23;Castellano;Sí;Secund. completa;5;5;1;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;En efectivo;En efectivo;;;;No;No;No;Banco privado;No solicito;Cuotas que pueda pagar;Muchos requisitos documentarios;No;Bajo nivel
11;2410;La Libertad;Chepen;Mujer;64;Castellano;Sí;Primaria incompleta;20;20;10;Sí;1;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Banco de la nación;Familiares;Que le den la cantidad que necesita;Tengo pocos ingresos;No;Nivel Alto
12;3225;La Libertad;Chepen;Hombre;48;Castellano;Sí;Secund. incompleta;20;20;3;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;;En efectivo;En efectivo;;En efectivo;;No;No;No;Banco de la nación;No solicito;Que no sea muy caro (tasa de interés y otros cargos);Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
13;1749;Lambayeque;Chiclayo;Hombre;65;Castellano;Sí;Primaria incompleta;5;5;5;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;;;En efectivo;;En efectivo;En efectivo;No;No;No;Banco privado;No solicito;Cuotas que pueda pagar;Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
14;2615;Lambayeque;Chiclayo;Mujer;48;Castellano;Sí;Primaria completa;20;20;10;No;;;Menos de S/ 400;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;;No;No;No;Banco privado;No solicito;Que le den la cantidad que necesita;Trámite muy largo;No;Nivel Alto
15;5230;Lambayeque;Chiclayo;Mujer;34;Castellano;Sí;Secund. incompleta;15;15;10;No;;;Menos de S/ 400;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;;No;No;No;Banco de la nación;Familiares;Trámite rápido y préstamo a tiempo;Tengo pocos ingresos;No;Nivel Alto
16;2615;Lambayeque;Chiclayo;Mujer;51;Castellano;Sí;Secund. incompleta;30;30;10;Sí;1;;Menos de S/ 400;En efectivo;;En efectivo;En efectivo;En efectivo;;;Sí;No;No;Banco de la nación;Familiares;Que no sea muy caro (tasa de interés y otros cargos);Muchos requisitos documentarios;No;Bajo nivel
17;3922;Lambayeque;Chiclayo;Mujer;60;Castellano;Sí;Secund. incompleta;20;20;8;No;;;Menos de S/ 400;En efectivo;;;En efectivo;En efectivo;;;No;No;No;Banco privado;Banca Multiple;Que no le pidan muchos documentos;;No;Nivel Alto
18;7845;Lambayeque;Chiclayo;Mujer;24;Castellano;Sí;Secund. completa;20;10;5;No;;No;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;;;;;;No;No;No;Banco privado;Familiares;Que no sea muy caro (tasa de interés y otros cargos);Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
19;2615;Lambayeque;Chiclayo;Mujer;25;Castellano;Más o menos;Primaria incompleta;;;;;;;Menos de S/ 400;En efectivo;;;;;;;No;No;No;Banco de la nación;No solicito;Que le den la cantidad que necesita;Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
20;1749;Lambayeque;Chiclayo;Hombre;26;Castellano;Sí;Secund. completa;10;10;10;Sí;6;No;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;;En efectivo;;;;Sí;No;No;Banco privado;No solicito;Trámite rápido y préstamo a tiempo;Falta de garantías;No;Nivel Alto
21;8745;Lambayeque;Chiclayo;Hombre;25;Castellano;Sí;Secund. completa;30;30;10;No;;;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;;En efectivo;;;;;Sí;No;No;Banco de la nación;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
22;5230;Lambayeque;Chiclayo;Mujer;56;Castellano;Sí;Sup. no universitaria incompleta;10;3;3;Sí;4;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;;En efectivo;En efectivo;;En efectivo;En efectivo;Sí;No;No;Banco de la nación;No solicito;Trámite rápido y préstamo a tiempo;Condiciones de crédito que no se adaptan a mis necesidades / no tienen lo que necesito;No;Bajo nivel
23;5230;Lambayeque;Chiclayo;Mujer;48;Castellano;Sí;Sup. no universitaria incompleta;30;30;15;No;;;Menos de S/ 400;En efectivo;En efectivo;En efectivo;En efectivo;;;;No;No;No;Banco de la nación;No solicito;Que le den la cantidad que necesita;Muchos requisitos documentarios;No;Nivel Alto
24;3498;Lambayeque;Chiclayo;Hombre;19;Castellano;Sí;Sup. universitaria incompleta;20;15;20;Sí;2;;;En efectivo;En efectivo;En efectivo;En efectivo;;;;Sí;No;No;Banco de la nación;No solicito;Que no sea muy caro (tasa de interés y otros cargos);Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
25;3251;La Libertad;Trujillo;Mujer;46;Castellano;Sí;Secund. completa;20;20;10;Sí;3;No;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;Sí;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;Sí;Nivel Alto
26;5799;La Libertad;Trujillo;Hombre;54;Castellano;Sí;Secund. completa;15;15;5;Sí;3;;;En efectivo;En efectivo;;En efectivo;En efectivo;En efectivo;;No;No;No;Banco privado;No solicito;Que le den la cantidad que necesita;No necesito;No;Nivel Alto
27;17396;La Libertad;Trujillo;Hombre;54;Castellano;Sí;Secund. completa;10;5;5;No;;No;Menos de S/ 400;;;;En efectivo;;;;No;No;No;Banco privado;Banca Multiple;Que no sea muy caro (tasa de interés y otros cargos);;Sí;Nivel Alto
28;5799;La Libertad;Trujillo;Hombre;41;Castellano;Sí;Secund. completa;20;20;5;No;;;;En efectivo;En efectivo;En efectivo;En efectivo;;En efectivo;;No;No;No;Cajas municipales;Familiares;Que le den la cantidad que necesita;Tengo pocos ingresos;No;Nivel Alto
29;5799;La Libertad;Trujillo;Hombre;42;Castellano;Sí;Sup. no universitaria completa;20;20;5;Sí;6;No;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;Sí;No;No;Banco privado;Banca Multiple;Trámite rápido y préstamo a tiempo;;Sí;Nivel Alto
30;3251;La Libertad;Trujillo;Mujer;65;Castellano;Sí;Secund. incompleta;20;15;7;No;;;Menos de S/ 400;;;;;;;;No;No;No;Casa, familiares o amigos;No solicito;Trámite rápido y préstamo a tiempo;No creo que me den;No;Nivel Alto
31;4349;La Libertad;Trujillo;Hombre;42;Castellano;Sí;Secund. completa;20;20;;Sí;8;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;No;No;No;Banco privado;No solicito;Que le den la cantidad que necesita;Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
32;4349;La Libertad;Trujillo;Hombre;55;Castellano;No precisa;No fue a la escuela;20;20;10;Sí;4;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Cooperativa;Familiares;Que le den la cantidad que necesita;No necesito;No;Nivel Alto
33;7248;La Libertad;Trujillo;Hombre;64;Castellano;Sí;Secund. completa;20;20;5;Sí;3;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;No;No;No;Cajas municipales;No solicito;Que le den la cantidad que necesita;Trámite muy largo;Sí;Nivel Alto
34;13004;La Libertad;Trujillo;Mujer;21;Castellano;Sí;Sup. universitaria incompleta;30;30;;Sí;5;;;;;;;;;;No;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);Tengo pocos ingresos;No;Nivel Alto
35;4335;La Libertad;Trujillo;Mujer;24;Castellano;Sí;Sup. no universitaria incompleta;25;25;10;Sí;4;;;;;;;;;;No;No;No;Casa, familiares o amigos;No solicito;Que le den la cantidad que necesita;No creo que me den;No;Nivel Alto
36;2899;La Libertad;Trujillo;Hombre;24;Castellano;Sí;Sup. universitaria completa;20;15;15;Sí;8;No;De  S/ 400 hasta menos de S/ 750;;;;;;;;Sí;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;Sí;Nivel Alto
37;2968;La Libertad;Trujillo;Mujer;27;Castellano;Sí;Sup. no universitaria completa;15;15;5;Sí;6;No;De  S/ 750 hasta menos de S/ 1,022;;;;;En efectivo;;En efectivo;Sí;No;No;Banco privado;Banca Multiple;Que no sea muy caro (tasa de interés y otros cargos);;No;Nivel Alto
38;2226;La Libertad;Trujillo;Mujer;48;Castellano;Sí;Sup. no universitaria incompleta;20;20;7;Sí;3;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;;;;;En efectivo;Sí;No;No;Banco privado;Familiares;Que le den la cantidad que necesita;Estoy en infocorp;No;Bajo nivel
39;3710;La Libertad;Trujillo;Mujer;47;Castellano;Sí;Sup. no universitaria incompleta;15;15;;Sí;5;No;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;;Sí;No;No;Banco de la nación;Banca Multiple;Plazo conveniente;;No;Nivel Alto
40;2226;La Libertad;Trujillo;Mujer;35;Castellano;Sí;Sup. universitaria incompleta;15;10;10;Sí;5;No;Menos de S/ 400;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;Sí;Sí;No;Financieras;Banca Multiple;Que no sea muy caro (tasa de interés y otros cargos);;No;Bajo nivel
41;2978;La Libertad;Trujillo;Hombre;20;Castellano;Sí;Secund. completa;15;10;5;Sí;1;No;;;;;;;;;No;No;No;Banco privado;No solicito;Que le den la cantidad que necesita;No necesito;No;Nivel Alto
42;3710;La Libertad;Trujillo;Mujer;55;Castellano;Sí;Sup. no universitaria completa;20;20;7;No;;No;Menos de S/ 400;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;No;No;No;Banco de la nación;Cooperativa;Que no sea muy caro (tasa de interés y otros cargos);Falta de garantías;No;Bajo nivel
43;1985;La Libertad;Trujillo;Hombre;65;Quechua;Sí;Sup. no universitaria completa;15;15;5;Sí;3;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;Sí;No;No;Banco de la nación;No solicito;Que le den la cantidad que necesita;No necesito;No;Nivel Alto
44;2226;La Libertad;Trujillo;Mujer;22;Castellano;Sí;Sup. no universitaria completa;8;10;5;No;;;De  S/ 400 hasta menos de S/ 750;;;;En efectivo;En efectivo;En efectivo;;No;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No creo que me den;No;Bajo nivel
45;1484;La Libertad;Trujillo;Mujer;45;Castellano;Sí;Primaria completa;10;10;5;Sí;5;No;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;;Sí;No;Sí;Banco privado;No solicito;Cuotas que pueda pagar;Condiciones de crédito que no se adaptan a mis necesidades / no tienen lo que necesito;Sí;Nivel Alto
46;2226;La Libertad;Trujillo;Mujer;40;Castellano;Sí;Sup. universitaria incompleta;30;10;10;Sí;2;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;Sí;Sí;No;Financieras;Familiares;Que le den la cantidad que necesita;No necesito;No;Nivel Alto
47;5194;La Libertad;Trujillo;Mujer;23;Castellano;Sí;Secund. completa;15;10;10;No;;;;En efectivo;En efectivo;;En efectivo;En efectivo;;;No;No;No;Financieras;No solicito;Que le den la cantidad que necesita;No necesito;Sí;Nivel Alto
48;6266;La Libertad;Trujillo;Mujer;33;Castellano;Sí;Secund. completa;30;30;10;Sí;6;No;Menos de S/ 400;En efectivo;En efectivo;;;;;;Sí;Sí;No;Financieras;Banca Multiple;Pagos en fechas convenientes;;No;Nivel Alto
49;5988;La Libertad;Trujillo;Hombre;25;Castellano;Sí;Secund. completa;15;15;5;Sí;5;Sí;De  S/ 400 hasta menos de S/ 750;;;;En efectivo;En efectivo;;;Sí;Sí;Sí;Banco de la nación;No solicito;Pagos en fechas convenientes;No necesito;No;Nivel Alto
50;3581;La Libertad;Trujillo;Mujer;40;Castellano;Sí;Secund. completa;15;15;8;Sí;6;;;En efectivo;En efectivo;;En efectivo;En efectivo;En efectivo;;No;No;No;Banco privado;No solicito;Que le den la cantidad que necesita;Trámite muy largo;Sí;Bajo nivel
51;3593;La Libertad;Trujillo;Hombre;50;Castellano;Sí;Secund. incompleta;15;15;7;Sí;3;;Menos de S/ 400;En efectivo;En efectivo;;En efectivo;En efectivo;;En efectivo;No;No;No;Banco privado;Familiares;Que le den la cantidad que necesita;Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
52;3581;La Libertad;Trujillo;Mujer;23;Castellano;Sí;Secund. completa;20;20;10;Sí;5;No;De  S/ 400 hasta menos de S/ 750;;;En efectivo;;;;;Sí;No;No;Banco privado;Banca Multiple;Que le den la cantidad que necesita;;No;Nivel Alto
53;3581;La Libertad;Trujillo;Mujer;37;Castellano;Sí;Sup. universitaria completa;20;20;10;No;;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;Sí;No;No;Financieras;Banca Multiple;Que le den la cantidad que necesita;;No;Nivel Alto
54;2686;La Libertad;Trujillo;Mujer;25;Castellano;Sí;Secund. completa;10;10;7;Sí;6;No;;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;;No;No;No;Banco privado;Familiares;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
55;6266;La Libertad;Trujillo;Mujer;20;Castellano;Sí;Secund. completa;30;30;10;No;;No;Menos de S/ 400;;;;;;;En efectivo;No;No;No;Banco de la nación;Banca Multiple;Que no sea muy caro (tasa de interés y otros cargos);;No;Bajo nivel
56;5371;La Libertad;Trujillo;Mujer;31;Castellano;Sí;Secund. completa;20;20;15;Sí;6;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;;En efectivo;En efectivo;;En efectivo;Sí;No;No;Banco privado;Familiares;Que le den la cantidad que necesita;Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
57;2686;La Libertad;Trujillo;Mujer;30;Castellano;Sí;Secund. completa;10;10;8;Sí;3;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;;En efectivo;En efectivo;En efectivo;En efectivo;Sí;No;No;Banco privado;No solicito;Pagos en fechas convenientes;Muchos requisitos documentarios;Sí;Bajo nivel
58;3581;La Libertad;Trujillo;Mujer;37;Castellano;Sí;Secund. completa;15;15;5;Sí;4;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;No;No;No;Banco privado;No solicito;Que le den la cantidad que necesita;Trámite muy largo;No;Nivel Alto
59;2686;La Libertad;Trujillo;Mujer;43;Castellano;Sí;Secund. completa;15;15;8;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;Sí;No;No;Banco privado;Casa Empeño;Que no le pidan muchos documentos;Es muy caro (altas tasas, comisiones y cargos);Sí;Bajo nivel
60;4412;La Libertad;Trujillo;Hombre;41;Castellano;Sí;Sup. universitaria completa;30;30;5;Sí;6;No;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;Sí;No;Sí;Banco privado;Banca Multiple;Que no le pidan muchos documentos;;Sí;Nivel Alto
61;1649;La Libertad;Trujillo;Mujer;35;Castellano;Sí;Sup. no universitaria incompleta;30;30;10;No;;;;En efectivo;En efectivo;En efectivo;En efectivo;;En efectivo;;No;No;No;Banco privado;Familiares;Trámite rápido y préstamo a tiempo;Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
62;7721;La Libertad;Trujillo;Hombre;48;Castellano;Sí;Secund. completa;25;25;10;No;;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;En efectivo;En efectivo;;;En efectivo;No;No;No;Cajas municipales;No solicito;Cuotas que pueda pagar;Estoy en infocorp;No;Bajo nivel
63;8824;La Libertad;Trujillo;Hombre;41;Castellano;Sí;Secund. completa;40;40;10;No;;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;En efectivo;En efectivo;;En efectivo;;No;No;No;Casa, familiares o amigos;Familiares;Cuotas que pueda pagar;Estoy en infocorp;No;Nivel Alto
64;1103;La Libertad;Trujillo;Hombre;38;Castellano;Sí;Sup. universitaria completa;35;20;15;Sí;6;No;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;En efectivo;Sí;No;Sí;Banco privado;Banca Multiple;Que le den la cantidad que necesita;;Sí;Nivel Alto
65;4947;La Libertad;Trujillo;Mujer;40;Castellano;Sí;Secund. completa;25;25;5;Sí;6;;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;Sí;No;No;Banco privado;Banca Multiple;Trámite rápido y préstamo a tiempo;;No;Nivel Alto
66;5515;La Libertad;Trujillo;Hombre;35;Castellano;Sí;Sup. no universitaria completa;30;30;5;Sí;6;No;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;;;En efectivo;En efectivo;;En efectivo;Sí;No;Sí;Banco privado;Banca Multiple;Trámite rápido y préstamo a tiempo;;Sí;Nivel Alto
67;3298;La Libertad;Trujillo;Mujer;24;Castellano;Sí;Sup. no universitaria completa;35;35;10;Sí;2;;;;;En efectivo;;;;En efectivo;No;No;No;Banco privado;Familiares;Que le den la cantidad que necesita;Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
68;5515;La Libertad;Trujillo;Hombre;49;Castellano;Sí;Sup. universitaria completa;20;20;5;Sí;5;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;En efectivo;En efectivo;;;;Sí;No;No;Banco privado;Familiares;Pagos en fechas convenientes;No necesito;Sí;Nivel Alto
69;3298;La Libertad;Trujillo;Mujer;49;Castellano;Sí;Secund. completa;25;25;5;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;;En efectivo;En efectivo;;;;No;No;No;Casa, familiares o amigos;Familiares;Que le den la cantidad que necesita;Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
70;4947;La Libertad;Trujillo;Mujer;45;Castellano;Sí;Secund. completa;30;30;10;Sí;1;;;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;Sí;No;No;Banco privado;Banca Multiple;Que le den la cantidad que necesita;;No;Nivel Alto
71;5515;La Libertad;Trujillo;Hombre;50;Castellano;Sí;Secund. completa;30;30;30;No;;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;;En efectivo;En efectivo;;En efectivo;;No;No;No;Casa, familiares o amigos;No solicito;Que le den la cantidad que necesita;Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
72;1331;La Libertad;Pacasmayo;Mujer;46;Castellano;Sí;Secund. incompleta;10;10;10;No;;;Menos de S/ 400;En efectivo;;;En efectivo;;;;No;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);Tengo pocos ingresos;No;Bajo nivel
73;1331;La Libertad;Pacasmayo;Mujer;44;Castellano;Sí;Secund. completa;20;;20;;;;;En efectivo;;En efectivo;En efectivo;;;;No;No;No;Banco de la nación;No solicito;Que le den la cantidad que necesita;Tengo pocos ingresos;No;Bajo nivel
74;2672;La Libertad;Pacasmayo;Hombre;53;Castellano;Sí;Secund. incompleta;10;10;10;Sí;2;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;;En efectivo;En efectivo;;;;Sí;No;Sí;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
75;1997;La Libertad;Pacasmayo;Mujer;65;Castellano;Sí;Secund. completa;15;15;15;No;;;Menos de S/ 400;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Trámite rápido y préstamo a tiempo;Tengo pocos ingresos;No;Nivel Alto
76;11318;La Libertad;Pacasmayo;Mujer;32;Castellano;Sí;Sup. no universitaria completa;8;8;8;Sí;6;No;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;;En efectivo;En efectivo;;;En efectivo;Sí;No;Sí;Banco de la nación;No solicito;Que no le pidan muchos documentos;No necesito;No;Nivel Alto
77;1997;La Libertad;Pacasmayo;Mujer;26;Castellano;Sí;Secund. completa;12;12;12;Sí;9;No;De  S/ 1,500 hasta menos de S/ 2,100;En efectivo;En efectivo;En efectivo;En efectivo;;;;Sí;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Nivel Alto
78;1781;La Libertad;Pacasmayo;Hombre;37;Castellano;Sí;Secund. completa;3;4;5;Sí;4;;De  S/ 2,100 a más;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;Sí;No;No;Financieras;Banca Multiple;Que no sea muy caro (tasa de interés y otros cargos);;No;Nivel Alto
79;2672;La Libertad;Pacasmayo;Hombre;19;Castellano;Sí;Sup. universitaria incompleta;10;10;10;Sí;5;Sí;De  S/ 400 hasta menos de S/ 750;En efectivo;;En efectivo;;;;;Sí;No;No;Banco privado;Familiares;Que no sea muy caro (tasa de interés y otros cargos);Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
80;1781;La Libertad;Pacasmayo;Hombre;49;Castellano;Sí;Secund. completa;20;20;20;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;;En efectivo;;;;Sí;No;No;Banco de la nación;No solicito;Trámite rápido y préstamo a tiempo;Muchos requisitos documentarios;No;Nivel Alto
81;1997;La Libertad;Pacasmayo;Mujer;41;Castellano;Sí;Secund. completa;;30;30;Sí;3;;Menos de S/ 400;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;;No;No;No;Banco de la nación;No solicito;Que no sea muy caro (tasa de interés y otros cargos);Tengo pocos ingresos;No;Bajo nivel
82;1781;La Libertad;Pacasmayo;Hombre;27;Castellano;Sí;Secund. completa;10;10;10;No;;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;;En efectivo;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que le den la cantidad que necesita;Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
83;1781;La Libertad;Pacasmayo;Hombre;33;Castellano;Sí;Secund. completa;15;15;15;Sí;1;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;;Sí;No;No;Banco de la nación;Banca Multiple;Cuotas que pueda pagar;;No;Nivel Alto
84;6310;Lima;Lima;Hombre;60;Castellano;Sí;Sup. universitaria completa;10;10;5;Sí;5;No;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;En efectivo;En efectivo;En efectivo;;;;Sí;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
85;7075;Lima;Lima;Mujer;62;Castellano;Sí;Secund. completa;20;20;10;No;;No;;En efectivo;;;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Nivel Alto
86;3538;Lima;Lima;Mujer;45;Castellano;Sí;Sup. universitaria completa;10;10;5;No;;;;En efectivo;;;;;;;No;No;No;Casa, familiares o amigos;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
87;1578;Lima;Lima;Hombre;56;Castellano;Sí;Sup. universitaria completa;10;10;10;Sí;3;No;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;;;;;;;Sí;No;Sí;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
88;3155;Lima;Lima;Hombre;42;Castellano;Sí;Sup. no universitaria completa;5;5;5;Sí;3;No;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;En efectivo;En efectivo;En efectivo;;;;Sí;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
89;2358;Lima;Lima;Mujer;28;Castellano;Sí;Sup. no universitaria completa;10;10;5;No;;No;;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
