sbs_id;facexp;departamento;provincia;sexo;p3;p6;leerescribir;niveleducativo;distanciaOficina;distanciaCajero;distanciaAgente;usocajero;vecescajero;ServFInternet;CategoriaIngreso;PagoAlimentacion;PagoSalud;PagoEducacion;PagoServiciosHogar;PagoDeudas;PagoVivienda;PagoEntretenimiento;CuentaAhorro;CuentaPlazo;CuentaCTS;PropensionAhorro;Entidad Credito;PropensionCredito;MotivoNoPropensionCredito;TarjetaCredito;EducacionFinanciera
2780;7083;Puno;Puno;Hombre;68;Aymara;Sí;Primaria incompleta;;;;;;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que le den la cantidad que necesita;No necesito;No;Bajo nivel
2781;1059;Puno;Puno;Mujer;53;Aymara;Sí;Primaria completa;15;;;;;;Menos de S/ 400;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que no le pidan muchos documentos;No necesito;No;Bajo nivel
2782;1059;Puno;Puno;Mujer;48;Aymara;Sí;Primaria incompleta;;;;;;;Menos de S/ 400;En efectivo;;;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que le den la cantidad que necesita;No necesito;No;Bajo nivel
2783;2118;Puno;Puno;Mujer;64;Aymara;Sí;Primaria incompleta;25;25;25;No;;;;En efectivo;;En efectivo;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Cuotas que pueda pagar;Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
2784;1417;Puno;Puno;Hombre;64;Aymara;Más o menos;Primaria incompleta;30;30;30;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;;;En efectivo;;;;No;No;No;Banco privado;Familiares;Cuotas que pueda pagar;Condiciones de crédito que no se adaptan a mis necesidades / no tienen lo que necesito;No;Bajo nivel
2785;708;Puno;Puno;Hombre;66;Aymara;Más o menos;Primaria incompleta;30;30;;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;;;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que no sea muy caro (tasa de interés y otros cargos);Tengo pocos ingresos;No;Bajo nivel
2786;1417;Puno;Puno;Hombre;45;Aymara;Sí;Secund. incompleta;20;20;20;No;;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;;En efectivo;En efectivo;;;;No;No;No;Banco privado;No solicito;Que le den la cantidad que necesita;Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
2787;1588;Puno;Puno;Mujer;49;Aymara;Más o menos;Primaria incompleta;40;;;;;;;En efectivo;;;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Cuotas que pueda pagar;Tengo pocos ingresos;No;Bajo nivel
2788;1417;Puno;Puno;Hombre;68;Aymara;Sí;Primaria completa;40;40;;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;;;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
2789;1417;Puno;Puno;Hombre;69;Aymara;Sí;Secund. completa;40;40;40;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;;;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Cuotas que pueda pagar;Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
2790;934;Pasco;Pasco;Mujer;64;Castellano;Más o menos;Primaria incompleta;30;30;30;No;;;Menos de S/ 400;;En efectivo;;;;;;Sí;No;No;Casa, familiares o amigos;No solicito;Cuotas que pueda pagar;Trámite muy largo;No;Bajo nivel
2791;624;Pasco;Pasco;Hombre;23;Castellano;Sí;Primaria completa;15;15;15;No;;;De  S/ 1,022 hasta menos de S/ 1,500;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Cajas municipales;No solicito;Cuotas que pueda pagar;Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
2792;934;Pasco;Pasco;Mujer;34;Castellano;Sí;Secund. completa;10;10;10;No;;;;En efectivo;En efectivo;En efectivo;En efectivo;;;En efectivo;No;No;No;Casa, familiares o amigos;No solicito;Que le den la cantidad que necesita;Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
2793;934;Pasco;Pasco;Mujer;52;Castellano;Sí;Secund. incompleta;12;12;12;No;;;;En efectivo;En efectivo;En efectivo;En efectivo;;;;No;No;No;Cajas municipales;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
2794;467;Pasco;Pasco;Mujer;38;Castellano;Sí;Secund. completa;12;12;12;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;En efectivo;En efectivo;;;;No;No;No;Cajas municipales;No solicito;Cuotas que pueda pagar;Tengo pocos ingresos;No;Bajo nivel
2795;1400;Pasco;Pasco;Mujer;53;Castellano;Sí;Secund. incompleta;10;10;10;No;;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;En efectivo;En efectivo;;;;No;No;No;Banco de la nación;No solicito;Plazo conveniente;No necesito;No;Bajo nivel
2796;1400;Pasco;Pasco;Mujer;51;Castellano;Sí;Educación inicial;15;15;;No;;;;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Cajas municipales;No solicito;Que le den la cantidad que necesita;No necesito;No;Bajo nivel
2797;1400;Pasco;Pasco;Mujer;60;Castellano;Sí;Secund. completa;12;;;;;;;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Cajas municipales;No solicito;Trámite rápido y préstamo a tiempo;No necesito;No;Bajo nivel
2798;467;Pasco;Pasco;Mujer;26;Castellano;Sí;Secund. completa;30;30;30;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;;No;No;No;Banco de la nación;Casa Empeño;Que le den la cantidad que necesita;No creo que me den;No;Bajo nivel
2799;1249;Pasco;Pasco;Hombre;50;Castellano;Sí;Secund. completa;30;30;30;Sí;12;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;En efectivo;En efectivo;;;;Sí;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Nivel Alto
2800;467;Pasco;Pasco;Mujer;27;Castellano;Sí;Sup. no universitaria incompleta;30;30;25;Sí;2;No;Menos de S/ 400;En efectivo;;En efectivo;En efectivo;;;;Sí;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);Tengo pocos ingresos;No;Nivel Alto
2801;2498;Pasco;Pasco;Hombre;29;Castellano;Sí;Secund. incompleta;25;25;25;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;;;En efectivo;En efectivo;;En efectivo;Sí;No;No;Cajas municipales;Familiares;Que no sea muy caro (tasa de interés y otros cargos);No creo que me den;No;Bajo nivel
2802;1102;Arequipa;Castilla;Mujer;45;Castellano;Sí;Primaria completa;;;;;;;;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;En efectivo;No;No;No;Financieras;No solicito;Que le den la cantidad que necesita;Tengo pocos ingresos;No;Nivel Alto
2803;1102;Arequipa;Castilla;Mujer;50;Castellano;Sí;Secund. incompleta;;;5;;;;Menos de S/ 400;En efectivo;En efectivo;;En efectivo;En efectivo;En efectivo;;Sí;No;No;Banco de la nación;Banca Multiple;Cuotas que pueda pagar;;Sí;Nivel Alto
2804;1102;Arequipa;Castilla;Mujer;42;Castellano;Sí;Secund. completa;;10;10;No;;;Menos de S/ 400;En efectivo;En efectivo;En efectivo;En efectivo;;En efectivo;;No;No;No;Prestamistas;No solicito;Cuotas que pueda pagar;No necesito;No;Nivel Alto
2805;1653;Arequipa;Castilla;Mujer;52;Castellano;Sí;Primaria incompleta;15;;15;;;;De  S/ 400 hasta menos de S/ 750;En efectivo;;;En efectivo;En efectivo;;;No;No;No;Casa, familiares o amigos;Banca Multiple;Cuotas que pueda pagar;;No;Nivel Alto
2806;551;Arequipa;Castilla;Mujer;33;Castellano;Sí;Sup. no universitaria completa;5;7;9;No;;;Menos de S/ 400;En efectivo;;En efectivo;En efectivo;En efectivo;;;No;No;No;Banco privado;No solicito;Que le den la cantidad que necesita;No necesito;No;Nivel Alto
2807;1102;Arequipa;Castilla;Mujer;35;Castellano;Sí;Sup. no universitaria completa;;;;;;;Menos de S/ 400;En efectivo;En efectivo;;En efectivo;;En efectivo;;No;No;No;Casa, familiares o amigos;No solicito;Cuotas que pueda pagar;No necesito;No;Nivel Alto
2808;1102;Arequipa;Castilla;Mujer;43;Castellano;Sí;Secund. incompleta;;;;;;;Menos de S/ 400;En efectivo;;;En efectivo;En efectivo;;;No;No;No;Casa, familiares o amigos;Banca Multiple;Cuotas que pueda pagar;;No;Nivel Alto
2809;551;Arequipa;Castilla;Mujer;24;Castellano;Sí;Secund. incompleta;8;7;5;No;;;Menos de S/ 400;En efectivo;;En efectivo;En efectivo;En efectivo;;En efectivo;Sí;No;No;Banco de la nación;No solicito;Cuotas que pueda pagar;Tengo pocos ingresos;No;Nivel Alto
2810;1474;Arequipa;Castilla;Hombre;38;Castellano;No precisa;No fue a la escuela;;;;;;;Menos de S/ 400;En efectivo;En efectivo;En efectivo;En efectivo;;En efectivo;;No;No;No;Casa, familiares o amigos;No solicito;Cuotas que pueda pagar;No necesito;No;Nivel Alto
2811;1102;Arequipa;Castilla;Mujer;25;Castellano;Sí;Sup. no universitaria completa;10;8;10;No;;;;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Prestamistas;No solicito;Que le den la cantidad que necesita;Tengo pocos ingresos;No;Nivel Alto
2812;1653;Arequipa;Castilla;Mujer;35;Castellano;Sí;Secund. incompleta;10;10;10;No;;;;En efectivo;En efectivo;En efectivo;En efectivo;En efectivo;;;No;No;No;Casa, familiares o amigos;No solicito;Cuotas que pueda pagar;No necesito;No;Nivel Alto
2813;1102;Arequipa;Castilla;Mujer;34;Castellano;Sí;Secund. incompleta;;;;;;;Menos de S/ 400;En efectivo;En efectivo;En efectivo;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Cuotas que pueda pagar;No necesito;No;Nivel Alto
2814;2640;Lima;Lima;Mujer;37;Castellano;Sí;Sup. no universitaria completa;10;10;10;Sí;5;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;;En efectivo;;;;Sí;No;Sí;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
2815;7065;Lima;Lima;Hombre;45;Castellano;Sí;Secund. completa;10;10;5;No;;Sí;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Nivel Alto
2816;2640;Lima;Lima;Mujer;22;Castellano;Sí;Secund. completa;15;15;5;Sí;5;No;;En efectivo;En efectivo;;En efectivo;;;;Sí;No;No;Banco de la nación;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Nivel Alto
2817;8831;Lima;Lima;Hombre;65;Castellano;Sí;Sup. no universitaria completa;10;10;5;Sí;5;No;;En efectivo;En efectivo;;En efectivo;;;;Sí;No;No;Banco de la nación;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
2818;7065;Lima;Lima;Hombre;26;Castellano;Sí;Sup. universitaria completa;10;10;5;Sí;5;Sí;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;;;;;;Sí;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Nivel Alto
2819;6601;Lima;Lima;Mujer;60;Castellano;Sí;Primaria completa;10;10;5;No;;;;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
2820;2640;Lima;Lima;Mujer;32;Castellano;Sí;Sup. universitaria completa;15;15;15;Sí;3;;;En efectivo;En efectivo;;;;;;Sí;No;No;Casa, familiares o amigos;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
2821;7065;Lima;Lima;Hombre;52;Castellano;Sí;Secund. completa;5;5;5;No;;;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Nivel Alto
2822;1343;Puno;Puno;Mujer;43;Castellano;Sí;Primaria incompleta;;;;;;;;En efectivo;En efectivo;En efectivo;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Pagos en fechas convenientes;No necesito;No;Bajo nivel
2823;895;Puno;Puno;Mujer;42;Castellano;Sí;Primaria incompleta;15;;;;;;;En efectivo;;En efectivo;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Plazo conveniente;No necesito;No;Bajo nivel
2824;1198;Puno;Puno;Hombre;56;Castellano;Sí;Sup. no universitaria completa;15;15;20;No;;;De  S/ 400 hasta menos de S/ 750;En efectivo;;;En efectivo;;;;No;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
2825;1343;Puno;Puno;Mujer;59;Quechua;No;No fue a la escuela;30;30;;No;;;Menos de S/ 400;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
2826;1198;Puno;Puno;Hombre;55;Castellano;Sí;Sup. universitaria completa;15;15;15;Sí;3;No;De  S/ 2,100 a más;En efectivo;En efectivo;En efectivo;En efectivo;;;;Sí;No;No;Banco privado;No solicito;Cuotas que pueda pagar;No necesito;Sí;Nivel Alto
2827;448;Puno;Puno;Mujer;70;Aymara;No;Primaria incompleta;30;30;30;No;;;;;;;;;;;No;No;No;Casa, familiares o amigos;No solicito;Cuotas que pueda pagar;Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
2828;1198;Puno;Puno;Hombre;41;Castellano;Sí;Sup. no universitaria completa;30;30;30;No;;No;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;En efectivo;En efectivo;;En efectivo;En efectivo;No;No;No;Casa, familiares o amigos;No solicito;Otro;Es muy caro (altas tasas, comisiones y cargos);No;Nivel Alto
2829;1198;Puno;Puno;Hombre;40;Quechua;Sí;Primaria completa;20;20;15;No;;;Menos de S/ 400;En efectivo;;En efectivo;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que no le pidan muchos documentos;No creo que me den;No;Nivel Alto
2830;1796;Puno;Puno;Hombre;55;Aymara;Sí;Sup. universitaria incompleta;30;30;30;No;;No;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;En efectivo;En efectivo;;En efectivo;;Sí;No;No;Casa, familiares o amigos;No solicito;Cuotas que pueda pagar;Es muy caro (altas tasas, comisiones y cargos);No;Bajo nivel
2831;2994;Puno;Puno;Hombre;65;Quechua;Sí;Secund. incompleta;25;25;25;No;;;De  S/ 1,500 hasta menos de S/ 2,100;En efectivo;En efectivo;En efectivo;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Que no le pidan muchos documentos;No necesito;No;Bajo nivel
2832;1796;Puno;Puno;Hombre;26;Aymara;Sí;Secund. incompleta;30;25;10;No;;;;En efectivo;En efectivo;En efectivo;En efectivo;;En efectivo;;No;No;No;Casa, familiares o amigos;No solicito;Pagos en fechas convenientes;No necesito;No;Nivel Alto
2833;895;Puno;Puno;Mujer;62;Aymara;Sí;Primaria incompleta;30;30;10;No;;;Menos de S/ 400;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Casa, familiares o amigos;No solicito;Pagos en fechas convenientes;No necesito;No;Bajo nivel
2834;1615;Lima;Lima;Mujer;20;Castellano;Sí;Secund. completa;5;5;5;No;;No;;En efectivo;En efectivo;;En efectivo;;;;No;No;No;Banco privado;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Bajo nivel
2835;2423;Lima;Lima;Mujer;65;Castellano;Sí;Sup. universitaria completa;5;5;5;Sí;3;No;De  S/ 750 hasta menos de S/ 1,022;En efectivo;En efectivo;;En efectivo;;;;Sí;No;No;Banco de la nación;No solicito;Que no sea muy caro (tasa de interés y otros cargos);No necesito;No;Nivel Alto
